Date,Description,Avg PF,Current (R),Current (Y),V B-R,V R-Y,V Y-B,kVAh,kWh,Current (B),kW (Total)
01-01-2023,23:45,0.18(Le),9.2,8.5,450.93,450.6,453.67,1227638,1177084.0,,
01-01-2023,23:30,0.19(Le),9.2,8.46,450.42,450.22,453.28,1227638,1177084.0,,
01-01-2023,23:15,0.18(Le),9.16,8.45,448.73,448.54,451.36,1227636,1177084.0,,
01-01-2023,23:00,0.18(Le),8.82,8.4,447.34,447.43,450.24,1227634,1177084.0,,
01-01-2023,22:45,0.18(Le),8.83,8.41,447.42,447.17,450.23,1227632,1177084.0,,
01-01-2023,22:30,0.18(Le),8.85,8.43,448.12,448.13,451.27,1227630,1177082.0,,
01-01-2023,22:15,0.29(Le),8.87,8.42,447.72,447.77,450.52,1227628,1177082.0,,
01-01-2023,22:00,0.29(Le),8.94,8.51,450.27,450.49,453.23,1227628,1177082.0,,
01-01-2023,21:45,0.29(Le),8.93,8.48,449.47,449.41,452.53,1227626,1177082.0,,
01-01-2023,21:30,0.30(Le),8.9,8.45,449.01,448.61,451.79,1227624,1177082.0,,
01-01-2023,21:15,0.58(Le),8.32,6.87,447.68,447.6,450.48,1227622,1177080.0,,
01-01-2023,21:00,0.18(Le),8.9,8.48,450.05,449.84,453.12,1227620,1177080.0,,
01-01-2023,20:45,0.30(Le),9.16,8.42,447.8,447.83,450.6,1227620,1177080.0,,
01-01-2023,20:30,0.18(Le),9.11,8.35,445.15,444.77,447.91,1227618,1177078.0,,
01-01-2023,20:15,0.18(Le),9.06,8.33,445.49,445.31,448.36,1227616,1177078.0,,
01-01-2023,20:00,0.31(Le),9.19,8.39,446.76,446.49,449.33,1227614,1177078.0,,
01-01-2023,19:45,0.19(Le),9.07,8.33,443.94,443.55,446.72,1227612,1177078.0,,
01-01-2023,19:30,0.31(Le),9.09,8.34,444.72,444.05,446.92,1227612,1177078.0,,
01-01-2023,19:15,0.19(Le),9.04,8.3,442.27,441.7,444.71,1227610,1177076.0,,
01-01-2023,19:00,0.31(Le),9.02,8.29,441.08,441.0,443.43,1227608,1177076.0,,
01-01-2023,18:45,0.19(Le),9.05,8.27,439.75,439.38,442.26,1227606,1177076.0,,
01-01-2023,18:30,0.31(Le),9.05,8.3,441.74,441.21,444.01,1227604,1177076.0,,
01-01-2023,18:15,0.09(Le),8.43,8.0,440.74,440.18,443.25,1227604,1177076.0,,
01-01-2023,18:00,0.22(Le),8.52,8.09,444.89,444.11,446.99,1227602,1177076.0,,
01-01-2023,17:45,0.08(Le),8.41,8.01,442.32,441.58,444.27,1227600,1177074.0,,
01-01-2023,17:30,0.21(Le),8.65,8.22,454.53,453.43,456.28,1227598,1177074.0,,
01-01-2023,17:15,0.21(Le),8.6,8.2,453.19,452.8,455.43,1227596,1177074.0,,
01-01-2023,17:00,0.21(Le),8.64,8.23,454.1,453.49,456.31,1227594,1177074.0,,
01-01-2023,16:45,0.22(Le),8.52,8.1,448.96,448.08,450.95,1227594,1177074.0,,
01-01-2023,16:30,0.22(Le),8.53,8.11,448.13,447.09,450.09,1227592,1177074.0,,
01-01-2023,16:15,0.22(Le),8.57,8.13,448.62,448.0,450.75,1227590,1177072.0,,
01-01-2023,16:00,0.22(Le),8.59,8.17,449.87,449.42,451.99,1227588,1177072.0,,
